Date,Adj Close
2013-02-14,13500.47
2013-02-15,13558.35
2013-02-18,13498.99
2013-02-19,13654.95
2013-02-20,13739.94
2013-02-21,13554.71
2013-02-22,13668.86
2013-02-25,13685.70
2013-02-26,13536.04
2013-02-27,13625.49
2013-02-28,13704.02
2013-03-01,13750.55
2013-03-04,13674.53
2013-03-05,13861.28
2013-03-06,13923.27
2013-03-07,13953.35
2013-03-08,14018.79
2013-03-11,14012.74
2013-03-12,14019.97
2013-03-13,13971.65
2013-03-14,14084.00
2013-03-15,14105.55
2013-03-18,14089.75
2013-03-19,14035.92
2013-03-20,14030.68
2013-03-21,13980.82
2013-03-22,13957.61
2013-03-25,13961.33
2013-03-26,13988.14
2013-03-27,13862.36
2013-03-28,13923.04
2013-04-02,14056.96
2013-04-03,13960.20
2013-04-04,13755.55
2013-04-05,13480.21
2013-04-08,13523.71
2013-04-09,13598.30
2013-04-10,13794.28
2013-04-11,13968.08
2013-04-12,13906.80
2013-04-15,13741.61
2013-04-16,13659.57
2013-04-17,13531.17
2013-04-18,13553.04
2013-04-19,13616.72
2013-04-22,13591.49
2013-04-23,13817.46
2013-04-24,13895.10
2013-04-25,14006.13
2013-04-26,13974.98
2013-04-29,13992.80
2013-04-30,13949.87
2013-05-01,14029.35
2013-05-02,13930.23
2013-05-03,14106.23
2013-05-07,14101.42
2013-05-08,14193.28
2013-05-09,14281.62
2013-05-10,14315.66
2013-05-13,14299.90
2013-05-14,14377.69
2013-05-15,14476.01
2013-05-16,14566.54
2013-05-17,14693.06
2013-05-20,14720.92
2013-05-21,14805.45
2013-05-22,14824.14
2013-05-23,14507.72
2013-05-24,14393.01
2013-05-28,14622.40
2013-05-29,14389.56
2013-05-30,14442.74
2013-05-31,14350.92
2013-06-03,14233.61
2013-06-04,14259.40
2013-06-05,13996.88
2013-06-06,13840.18
2013-06-07,14005.01
2013-06-10,14025.19
2013-06-11,13806.10
2013-06-12,13764.53
2013-06-13,13677.87
2013-06-14,13822.44
2013-06-17,13907.35
2013-06-18,13994.39
2013-06-19,14010.36
2013-06-20,13667.38
2013-06-21,13544.94
2013-06-24,13272.23
2013-06-25,13458.57
2013-06-26,13609.07
2013-06-27,13802.55
2013-06-28,13798.22
2013-07-01,14030.67
2013-07-02,14009.94
2013-07-03,13967.46
2013-07-04,14319.03
2013-07-05,14266.42
2013-07-08,14473.22
2013-07-09,14620.58
2013-07-10,14531.23
2013-07-11,14640.95
2013-07-12,14699.38
2013-07-15,14761.99
2013-07-16,14682.24
2013-07-17,14724.28
2013-07-18,14819.80
2013-07-19,14814.90
2013-07-22,14849.57
2013-07-23,14822.21
2013-07-24,14835.13
2013-07-25,14767.89
2013-07-26,14725.57
2013-07-29,14737.40
2013-07-30,14829.92
2013-07-31,14872.86
2013-08-01,15061.21
2013-08-02,15131.97
2013-08-05,15197.18
2013-08-06,15115.10
2013-08-07,14970.05
2013-08-08,15086.21
2013-08-09,15125.39
2013-08-12,15076.89
2013-08-13,15100.82
2013-08-14,15086.34
2013-08-15,14693.00
2013-08-16,14834.57
2013-08-19,14865.21
2013-08-20,14774.07
2013-08-21,14743.05
2013-08-22,14853.59
2013-08-23,14953.10
2013-08-27,14767.99
2013-08-28,14625.76
2013-08-29,14735.80
2013-08-30,14625.18
2013-09-02,14875.48
2013-09-03,14861.46
2013-09-04,14851.53
2013-09-05,14977.34
2013-09-06,15048.28
2013-09-09,15092.86
2013-09-10,15270.73
2013-09-11,15245.78
2013-09-12,15192.07
2013-09-13,15220.09
2013-09-16,15292.03
2013-09-17,15152.26
2013-09-18,15089.22
2013-09-19,15137.10
2013-09-20,15032.27
2013-09-23,14920.90
2013-09-24,15063.23
2013-09-25,15028.75
2013-09-26,15009.41
2013-09-27,14924.88
2013-09-30,14908.18
2013-10-01,14966.40
2013-10-02,14891.26
2013-10-03,14853.04
2013-10-04,14839.22
2013-10-07,14770.99
2013-10-08,14667.64
2013-10-09,14638.00
2013-10-10,14896.61
2013-10-11,14969.83
2013-10-14,15057.43
2013-10-15,15128.44
2013-10-16,15216.60
2013-10-17,15231.91
2013-10-18,15391.18
2013-10-21,15521.98
2013-10-22,15512.49
2013-10-23,15494.97
2013-10-24,15526.93
2013-10-25,15491.63
2013-10-28,15428.79
2013-10-29,15535.51
2013-10-30,15582.96
2013-10-31,15479.95
2013-11-01,15455.69
2013-11-04,15468.40
2013-11-05,15367.61
2013-11-06,15403.83
2013-11-07,15389.52
2013-11-08,15342.03
2013-11-11,15420.36
2013-11-12,15369.08
2013-11-13,15179.84
2013-11-14,15257.93
2013-11-15,15246.58
2013-11-18,15290.48
2013-11-19,15265.60
2013-11-20,15178.75
2013-11-21,15148.50
2013-11-22,15187.68
2013-11-25,15299.92
2013-11-26,15306.13
2013-11-27,15406.67
2013-11-28,15431.80
2013-11-29,15466.56
2013-12-02,15334.75
2013-12-03,15153.14
2013-12-04,15127.95
2013-12-05,15157.70
2013-12-06,15317.05
2013-12-09,15391.79
2013-12-10,15410.79
2013-12-11,15396.12
2013-12-12,15211.54
2013-12-13,15233.46
2013-12-16,15384.58
2013-12-17,15348.56
2013-12-18,15366.70
2013-12-19,15589.95
2013-12-20,15636.59
2013-12-23,15741.67
2013-12-24,15783.04
2013-12-27,15878.10
2013-12-30,15900.74
2013-12-31,15935.35
2014-01-02,15919.09
2014-01-03,16020.47
2014-01-06,16049.30
2014-01-07,16069.19
2014-01-08,16001.74
2014-01-09,15948.97
2014-01-10,16191.73
2014-01-13,16254.80
2014-01-14,16236.02
2014-01-15,16292.94
2014-01-16,16209.65
2014-01-17,16187.09
2014-01-20,16227.11
2014-01-21,16144.20
2014-01-22,16147.17
2014-01-23,15980.13
2014-01-24,15703.44
2014-01-27,15528.21
2014-01-28,15715.83
2014-01-29,15688.31
2014-01-30,15701.80
2014-01-31,15674.37
2014-02-03,15558.23
2014-02-04,15540.28
2014-02-05,15561.38
2014-02-06,15789.91
2014-02-07,15865.12
2014-02-10,15910.72
2014-02-11,16078.28
2014-02-12,16079.18
2014-02-13,16029.39
2014-02-14,16110.62
2014-02-17,16244.71
2014-02-18,16342.07
2014-02-19,16347.33
2014-02-20,16368.83
2014-02-21,16460.88
2014-02-24,16539.29
2014-02-25,16527.88
2014-02-26,16471.66
2014-02-27,16523.02
2014-02-28,16726.00
2014-03-03,16374.84
2014-03-04,16698.90
2014-03-05,16614.35
2014-03-06,16671.75
2014-03-07,16559.45
2014-03-10,16451.20
2014-03-11,16481.45
2014-03-12,16326.70
2014-03-13,16186.23
2014-03-14,16124.92
2014-03-17,16297.38
2014-03-18,16354.20
2014-03-19,16338.84
2014-03-20,16217.35
2014-03-21,16160.11
2014-03-24,16019.41
2014-03-25,16153.13
2014-03-26,16252.92
2014-03-27,16202.17
2014-03-28,16181.71
2014-03-31,16273.72
2014-04-01,16407.56
2014-04-02,16415.96
2014-04-03,16349.06
2014-04-04,16433.67
2014-04-07,16262.84
2014-04-08,16014.46
2014-04-09,16163.70
2014-04-10,16148.54
2014-04-11,15898.37
2014-04-14,15702.42
2014-04-15,15590.50
2014-04-16,15745.98
2014-04-17,15907.91
2014-04-22,16082.24
2014-04-23,15989.64
2014-04-24,15991.77
2014-04-25,15888.21
2014-04-28,15826.24
2014-04-29,15896.64
2014-04-30,15817.20
2014-05-01,15850.34
2014-05-02,15930.92
2014-05-06,15938.69
2014-05-07,15881.95
2014-05-08,15968.51
2014-05-09,15885.21
2014-05-12,15981.35
2014-05-13,16038.89
2014-05-14,15974.61
2014-05-15,15616.54
2014-05-16,15397.92
2014-05-19,15379.44
2014-05-20,15440.25
2014-05-21,15603.20
2014-05-22,15675.09
2014-05-23,15706.03
2014-05-27,15843.93
2014-05-28,15935.43
2014-05-29,15954.82
2014-05-30,16010.25
2014-06-02,16084.40
2014-06-03,15971.89
2014-06-04,15986.47
2014-06-05,15995.49
2014-06-06,16232.90
2014-06-09,16218.36
2014-06-10,16210.64
2014-06-11,16087.63
2014-06-12,16125.95
2014-06-13,15814.81
2014-06-16,15706.73
2014-06-17,15585.46
2014-06-18,15624.20
2014-06-19,15683.88
2014-06-20,15791.42
2014-06-23,15675.31
2014-06-24,15547.21
2014-06-25,15453.95
2014-06-26,15646.83
2014-06-27,15681.46
2014-06-30,15723.56
2014-07-01,15840.87
2014-07-02,15897.11
2014-07-03,16028.96
2014-07-04,16050.16
2014-07-07,15892.30
2014-07-08,15652.48
2014-07-09,15549.63
2014-07-10,15439.87
2014-07-11,15451.42
2014-07-14,15577.71
2014-07-15,15440.48
2014-07-16,15600.23
2014-07-17,15554.01
2014-07-18,15556.84
2014-07-21,15486.10
2014-07-22,15650.73
2014-07-23,15725.96
2014-07-24,15748.69
2014-07-25,15691.81
2014-07-28,15616.53
2014-07-29,15687.02
2014-07-30,15629.84
2014-07-31,15495.64
2014-08-01,15402.70
2014-08-04,15362.57
2014-08-05,15351.91
2014-08-06,15262.72
2014-08-07,15240.10
2014-08-08,15243.38
2014-08-11,15460.73
2014-08-12,15465.81
2014-08-13,15527.48
2014-08-14,15675.56
2014-08-15,15667.81
2014-08-18,15796.37
2014-08-19,15895.26
2014-08-20,15748.92
2014-08-21,15838.57
2014-08-22,15881.08
2014-08-26,15998.00
2014-08-27,16024.64
2014-08-28,15910.86
2014-08-29,15885.72
2014-09-01,15957.13
2014-09-02,15965.43
2014-09-03,15991.90
2014-09-04,15995.79
2014-09-05,15924.59
2014-09-08,15768.25
2014-09-09,15786.87
2014-09-10,15672.66
2014-09-11,15621.35
2014-09-12,15711.85
2014-09-15,15649.23
2014-09-16,15593.05
2014-09-17,15576.72
2014-09-18,15722.81
2014-09-19,15859.10
2014-09-22,15744.61
2014-09-23,15533.71
2014-09-24,15537.61
2014-09-25,15425.91
2014-09-26,15383.69
2014-09-29,15390.07
2014-09-30,15379.72
2014-10-01,15210.89
2014-10-02,15005.19
2014-10-03,15230.16
2014-10-06,15277.01
2014-10-07,15099.22
2014-10-08,14933.52
2014-10-09,14811.33
2014-10-10,14641.58
2014-10-13,14543.98
2014-10-14,14669.76
2014-10-15,14426.74
2014-10-16,14480.09
2014-10-17,14757.62
2014-10-20,14755.97
2014-10-21,15024.97
2014-10-22,15170.06
2014-10-23,15135.99
2014-10-24,15089.55
2014-10-27,15040.39
2014-10-28,15123.35
2014-10-29,15234.14
2014-10-30,15298.32
2014-10-31,15501.37
2014-11-03,15453.15
2014-11-04,15394.11
2014-11-05,15526.33
2014-11-06,15515.13
2014-11-07,15464.53
2014-11-10,15596.23
2014-11-11,15630.69
2014-11-12,15604.27
2014-11-13,15631.89
2014-11-14,15644.12
2014-11-17,15648.63
2014-11-18,15699.43
2014-11-19,15601.88
2014-11-20,15604.52
2014-11-21,15691.62
2014-11-24,15710.06
2014-11-25,15831.55
2014-11-26,15788.43
2014-11-27,15889.66
2014-11-28,15851.76
2014-12-01,15719.77
2014-12-02,15832.95
2014-12-03,15811.55
2014-12-04,15840.51
2014-12-05,16002.88
2014-12-08,15952.47
2014-12-09,15714.28
2014-12-10,15737.52
2014-12-11,15663.52
2014-12-12,15377.10
2014-12-15,15233.90
2014-12-16,15426.80
2014-12-17,15443.98
2014-12-18,15732.71
2014-12-19,15888.91
2014-12-22,15991.54
2014-12-23,16094.23
2014-12-24,16104.92
2014-12-29,16050.71
2014-12-30,15990.31
2014-12-31,16085.44
2015-01-02,16051.96
2015-01-05,15921.68
2015-01-06,15778.65
2015-01-07,15851.69
2015-01-08,16085.54
2015-01-09,16010.96
2015-01-12,15943.69
2015-01-13,16084.97
2015-01-14,15872.09
2015-01-15,15915.29
2015-01-16,15922.51
2015-01-19,16067.19
2015-01-20,16126.56
2015-01-21,16253.31
2015-01-22,16378.94
