Date,Adj Close,,
02/11/2007,"6,530.60",,
01/11/2007,"6,586.08",,
31/10/2007,"6,721.57",,
30/10/2007,"6,658.99",,
29/10/2007,"6,706.04",,
26/10/2007,"6,661.34",,
25/10/2007,"6,576.31",,
24/10/2007,"6,481.99",,
23/10/2007,"6,513.99",,
22/10/2007,"6,459.32",,
19/10/2007,"6,527.92",,
18/10/2007,"6,609.42",,
17/10/2007,"6,677.67",,
16/10/2007,"6,614.29",,
15/10/2007,"6,644.48",,
12/10/2007,"6,730.71",,
11/10/2007,"6,724.54",,
10/10/2007,"6,633.02",,
09/10/2007,"6,615.39",,
08/10/2007,"6,540.90",,
05/10/2007,"6,595.81",,
04/10/2007,"6,547.91",,
03/10/2007,"6,535.21",,
02/10/2007,"6,500.40",,
01/10/2007,"6,506.25",,
28/09/2007,"6,466.79",,
27/09/2007,"6,486.42",,
26/09/2007,"6,433.03",,
25/09/2007,"6,396.90",,
24/09/2007,"6,465.91",,
21/09/2007,"6,456.69",,
20/09/2007,"6,429.00",,
19/09/2007,"6,460.04",,
18/09/2007,"6,283.30",,
17/09/2007,"6,182.78",,
14/09/2007,"6,289.34",,
13/09/2007,"6,363.89",,
12/09/2007,"6,306.19",,
11/09/2007,"6,280.68",,
10/09/2007,"6,134.13",,
07/09/2007,"6,191.23",,
06/09/2007,"6,313.31",,
05/09/2007,"6,270.67",,
04/09/2007,"6,376.84",,
03/09/2007,"6,315.22",,
31/08/2007,"6,303.30",,
30/08/2007,"6,212.00",,
29/08/2007,"6,132.22",,
28/08/2007,"6,102.23",,
24/08/2007,"6,220.09",,
23/08/2007,"6,196.87",,
22/08/2007,"6,195.96",,
21/08/2007,"6,086.10",,
20/08/2007,"6,078.68",,
17/08/2007,"6,064.24",,
16/08/2007,"5,858.93",,
15/08/2007,"6,109.33",,
14/08/2007,"6,143.51",,
13/08/2007,"6,219.01",,
10/08/2007,"6,038.34",,
09/08/2007,"6,271.21",,
08/08/2007,"6,393.88",,
07/08/2007,"6,308.84",,
06/08/2007,"6,189.10",,
03/08/2007,"6,224.25",,
02/08/2007,"6,300.26",,
01/08/2007,"6,250.57",,
31/07/2007,"6,360.11",,
30/07/2007,"6,206.12",,
27/07/2007,"6,215.20",,
26/07/2007,"6,251.20",,
25/07/2007,"6,454.31",,
24/07/2007,"6,498.71",,
23/07/2007,"6,624.38",,
20/07/2007,"6,585.23",,
19/07/2007,"6,640.23",,
18/07/2007,"6,567.06",,
17/07/2007,"6,659.15",,
16/07/2007,"6,697.73",,
13/07/2007,"6,716.72",,
12/07/2007,"6,697.70",,
11/07/2007,"6,615.13",,
10/07/2007,"6,630.93",,
09/07/2007,"6,712.67",,
06/07/2007,"6,690.12",,
05/07/2007,"6,635.23",,
04/07/2007,"6,673.07",,
03/07/2007,"6,639.81",,
02/07/2007,"6,590.55",,
29/06/2007,"6,607.90",,
28/06/2007,"6,571.28",,
27/06/2007,"6,527.57",,
26/06/2007,"6,559.28",,
25/06/2007,"6,588.41",,
22/06/2007,"6,567.35",,
21/06/2007,"6,595.99",,
20/06/2007,"6,649.25",,
19/06/2007,"6,650.24",,
18/06/2007,"6,703.50",,
15/06/2007,"6,732.40",,
14/06/2007,"6,649.92",,
13/06/2007,"6,559.56",,
12/06/2007,"6,520.45",,
11/06/2007,"6,567.52",,
08/06/2007,"6,505.11",,
07/06/2007,"6,505.12",,
06/06/2007,"6,522.69",,
05/06/2007,"6,632.80",,
04/06/2007,"6,664.11",,
01/06/2007,"6,676.66",,
31/05/2007,"6,621.45",,
30/05/2007,"6,602.08",,
29/05/2007,"6,606.48",,
25/05/2007,"6,570.55",,
24/05/2007,"6,565.45",,
23/05/2007,"6,616.40",,
22/05/2007,"6,606.61",,
21/05/2007,"6,636.79",,
18/05/2007,"6,640.92",,
17/05/2007,"6,579.25",,
16/05/2007,"6,559.45",,
15/05/2007,"6,568.65",,
14/05/2007,"6,555.50",,
11/05/2007,"6,565.67",,
10/05/2007,"6,524.12",,
09/05/2007,"6,549.60",,
08/05/2007,"6,550.43",,
04/05/2007,"6,603.66",,
03/05/2007,"6,537.77",,
02/05/2007,"6,484.45",,
01/05/2007,"6,419.61",,
30/04/2007,"6,449.21",,
27/04/2007,"6,418.67",,
26/04/2007,"6,469.38",,
25/04/2007,"6,461.95",,
24/04/2007,"6,429.54",,
23/04/2007,"6,479.71",,
